# Title:                 ESA CCI river discharge precursor project - Multispectral-based river discharge
#                        --------------
# Format:                CSV
# Field delimiter:       ;
# missing values are indicated by 'nan'
# file generation date:  2024-10-01
# 
# Basin:                 GARONNE
# River:                 GARONNE
# Station:               TONNEINS
# Country:               FRANCE
# Latitude (DD):         44.38
# Longitude (DD):        0.3
# Catchment area (km^2):      nan
# Altitude (m ASL):          nan
# Next downstream station:   nan
# Institution: Generated by CNR IRPI
# Owner and License: ESA River Discharge CCI+ - ESA CCI data policy (free and open access)
# doi: 10.5285/a8422dd3766c447d8b5fa80920649f31
#************************************************************
#
# Data Set Content:      RIVER DISCHARGE (RD)
#                        --------------------
# Unit of measure:       m^3/s
# Time series:           2000-03-17 - 2023-09-30
# Last update:           2024-06-05
# Methodology:           Calibrated CM approach - best fit regression
# Insitu discharge:      Service Central d'Hydrometeorologie et d'Appui a la Prevision des Inondations (SCHAPI) HydroPortail
# Calibration period:    2017-02-02 - 2023-06-10
#
# Table Header:
#     Date         - YYYY-MM-DD 
#     Time         - hh:mm:ss 
#     Value        - original (provided) data
#     Uncertainty  - Values's uncertainty
#     Satellite    - Multispectral satellite  mission source
#************************************************************
#
# Data lines: 1964
# DATA
YYYY-MM-DD;hh:mm:ss;Value;Uncertainty;Satellite
2000-03-17; 00:00:00;       339.70; nan; multi
2000-04-18; 00:00:00;     10874.17; nan; multi
2000-08-24; 00:00:00;        72.73; nan; multi
2000-09-09; 00:00:00;        75.86; nan; multi
2000-09-25; 00:00:00;        73.56; nan; multi
2000-12-30; 00:00:00;     11947.66; nan; multi
2001-04-21; 00:00:00;      7793.43; nan; multi
2001-06-24; 00:00:00;        79.04; nan; multi
2001-08-11; 00:00:00;        73.02; nan; multi
2001-08-27; 00:00:00;        73.08; nan; multi
2001-09-12; 00:00:00;        73.99; nan; multi
2001-10-14; 00:00:00;        73.60; nan; multi
2001-11-15; 00:00:00;       178.02; nan; multi
2001-12-17; 00:00:00;       143.91; nan; multi
2002-02-19; 00:00:00;       169.58; nan; multi
2002-03-23; 00:00:00;       127.95; nan; multi
2002-04-24; 00:00:00;        77.55; nan; multi
2002-06-27; 00:00:00;        82.07; nan; multi
2002-08-14; 00:00:00;        76.98; nan; multi
2002-09-15; 00:00:00;        91.01; nan; multi
2003-01-05; 00:00:00;      1574.47; nan; multi
2003-02-06; 00:00:00;      1234.39; nan; multi
2003-03-26; 00:00:00;       209.07; nan; multi
2003-04-27; 00:00:00;       344.80; nan; multi
2003-05-13; 00:00:00;        99.73; nan; multi
2003-05-29; 00:00:00;       269.48; nan; multi
2003-09-02; 00:00:00;        72.62; nan; multi
2003-12-23; 00:00:00;       393.12; nan; multi
2004-05-15; 00:00:00;      2720.28; nan; multi
2004-06-16; 00:00:00;       205.93; nan; multi
2005-01-10; 00:00:00;       232.89; nan; multi
2005-07-21; 00:00:00;        72.67; nan; multi
2005-11-10; 00:00:00;       156.46; nan; multi
2006-04-03; 00:00:00;      4018.93; nan; multi
2006-06-06; 00:00:00;        73.35; nan; multi
2006-11-29; 00:00:00;       319.64; nan; multi
2006-12-15; 00:00:00;       446.70; nan; multi
2007-03-05; 00:00:00;       791.77; nan; multi
2007-04-22; 00:00:00;      2215.44; nan; multi
2007-05-24; 00:00:00;       792.49; nan; multi
2007-08-12; 00:00:00;        72.64; nan; multi
2007-10-15; 00:00:00;        77.21; nan; multi
2007-11-16; 00:00:00;        73.94; nan; multi
2007-12-18; 00:00:00;       355.78; nan; multi
2008-03-14; 00:00:00;       707.98; nan; multi
2008-06-27; 00:00:00;       340.88; nan; multi
2008-08-30; 00:00:00;        72.65; nan; multi
2008-09-15; 00:00:00;       267.96; nan; multi
2009-05-29; 00:00:00;      1960.46; nan; multi
2009-07-16; 00:00:00;        74.73; nan; multi
2009-10-27; 00:00:00;        89.05; nan; multi
2010-03-29; 00:00:00;       527.71; nan; multi
2010-07-19; 00:00:00;        73.89; nan; multi
2010-08-20; 00:00:00;        72.62; nan; multi
2010-10-30; 00:00:00;       225.18; nan; multi
2011-02-28; 00:00:00;      1031.12; nan; multi
2011-03-07; 00:00:00;       739.24; nan; multi
2011-03-23; 00:00:00;      1963.91; nan; multi
2011-04-01; 00:00:00;      1638.32; nan; multi
2011-04-08; 00:00:00;      1289.23; nan; multi
2011-04-17; 00:00:00;       358.04; nan; multi
2011-07-29; 00:00:00;       475.90; nan; multi
2011-11-11; 00:00:00;       787.19; nan; multi
2011-11-18; 00:00:00;       657.42; nan; multi
2011-12-29; 00:00:00;       919.02; nan; multi
2012-02-22; 00:00:00;       558.41; nan; multi
2012-03-09; 00:00:00;       122.77; nan; multi
2012-03-25; 00:00:00;       274.19; nan; multi
2012-07-24; 00:00:00;        72.99; nan; multi
2012-08-09; 00:00:00;        75.08; nan; multi
2012-08-16; 00:00:00;        72.83; nan; multi
2012-09-01; 00:00:00;       332.73; nan; multi
2012-10-05; 00:00:00;       277.41; nan; multi
2012-10-08; 00:00:00;       438.47; nan; multi
2012-10-15; 00:00:00;      1556.45; nan; multi
2012-10-23; 00:00:00;       809.94; nan; multi
2012-10-24; 00:00:00;       605.42; nan; multi
2012-10-28; 00:00:00;       674.29; nan; multi
2012-10-29; 00:00:00;       618.12; nan; multi
2012-11-02; 00:00:00;       612.44; nan; multi
2012-11-07; 00:00:00;       568.58; nan; multi
2012-11-11; 00:00:00;       594.94; nan; multi
2012-11-14; 00:00:00;       507.79; nan; multi
2012-11-15; 00:00:00;       526.70; nan; multi
2012-11-30; 00:00:00;       621.51; nan; multi
2012-12-01; 00:00:00;       667.73; nan; multi
2012-12-04; 00:00:00;       759.44; nan; multi
2012-12-15; 00:00:00;      6675.34; nan; multi
2012-12-23; 00:00:00;      1592.27; nan; multi
2012-12-29; 00:00:00;      1196.89; nan; multi
2013-01-03; 00:00:00;      2003.69; nan; multi
2013-01-11; 00:00:00;      1192.26; nan; multi
2013-01-17; 00:00:00;       908.20; nan; multi
2013-01-21; 00:00:00;       834.43; nan; multi
2013-01-28; 00:00:00;       914.66; nan; multi
2013-02-06; 00:00:00;      1088.61; nan; multi
2013-02-12; 00:00:00;       898.02; nan; multi
2013-02-16; 00:00:00;       889.28; nan; multi
2013-02-17; 00:00:00;       892.11; nan; multi
2013-02-19; 00:00:00;       907.58; nan; multi
2013-02-20; 00:00:00;       878.12; nan; multi
2013-02-21; 00:00:00;       907.40; nan; multi
2013-02-22; 00:00:00;       926.68; nan; multi
2013-02-28; 00:00:00;       864.81; nan; multi
2013-03-01; 00:00:00;       805.61; nan; multi
2013-03-03; 00:00:00;       740.03; nan; multi
2013-03-07; 00:00:00;       829.05; nan; multi
2013-03-10; 00:00:00;       946.11; nan; multi
2013-03-15; 00:00:00;       910.19; nan; multi
2013-03-21; 00:00:00;       970.07; nan; multi
2013-04-03; 00:00:00;       536.26; nan; multi
2013-04-13; 00:00:00;       199.17; nan; multi
2013-04-14; 00:00:00;       458.80; nan; multi
2013-04-15; 00:00:00;       655.72; nan; multi
2013-04-17; 00:00:00;       784.57; nan; multi
2013-04-22; 00:00:00;      1039.98; nan; multi
2013-04-23; 00:00:00;      1079.61; nan; multi
2013-04-24; 00:00:00;      1090.44; nan; multi
2013-04-25; 00:00:00;      1039.49; nan; multi
2013-05-04; 00:00:00;       653.95; nan; multi
2013-05-05; 00:00:00;       542.64; nan; multi
2013-05-06; 00:00:00;       519.22; nan; multi
2013-05-24; 00:00:00;      1075.97; nan; multi
2013-06-01; 00:00:00;       651.30; nan; multi
2013-06-03; 00:00:00;       567.81; nan; multi
2013-06-04; 00:00:00;       546.85; nan; multi
2013-06-05; 00:00:00;       542.97; nan; multi
2013-06-06; 00:00:00;       511.66; nan; multi
2013-06-12; 00:00:00;       479.67; nan; multi
2013-06-14; 00:00:00;       479.82; nan; multi
2013-06-16; 00:00:00;       480.38; nan; multi
2013-06-26; 00:00:00;       303.52; nan; multi
2013-06-27; 00:00:00;       285.55; nan; multi
2013-07-01; 00:00:00;       281.29; nan; multi
2013-07-04; 00:00:00;       268.06; nan; multi
2013-07-05; 00:00:00;       264.14; nan; multi
2013-07-06; 00:00:00;       260.26; nan; multi
2013-07-07; 00:00:00;       261.16; nan; multi
2013-07-08; 00:00:00;       257.78; nan; multi
2013-07-09; 00:00:00;       270.34; nan; multi
2013-07-10; 00:00:00;       287.40; nan; multi
2013-07-11; 00:00:00;       309.96; nan; multi
2013-07-12; 00:00:00;       314.11; nan; multi
2013-07-13; 00:00:00;       304.88; nan; multi
2013-07-15; 00:00:00;       311.90; nan; multi
2013-07-17; 00:00:00;       318.31; nan; multi
2013-07-18; 00:00:00;       335.49; nan; multi
2013-07-20; 00:00:00;       337.14; nan; multi
2013-07-21; 00:00:00;       325.27; nan; multi
2013-07-22; 00:00:00;       298.35; nan; multi
2013-07-25; 00:00:00;       288.65; nan; multi
2013-07-31; 00:00:00;       248.14; nan; multi
2013-08-01; 00:00:00;       214.68; nan; multi
2013-08-03; 00:00:00;       187.68; nan; multi
2013-08-04; 00:00:00;       176.98; nan; multi
2013-08-05; 00:00:00;       169.78; nan; multi
2013-08-11; 00:00:00;       149.91; nan; multi
2013-08-12; 00:00:00;       156.15; nan; multi
2013-08-13; 00:00:00;       144.50; nan; multi
2013-08-14; 00:00:00;       147.45; nan; multi
2013-08-15; 00:00:00;       143.44; nan; multi
2013-08-16; 00:00:00;       145.82; nan; multi
2013-08-17; 00:00:00;       153.03; nan; multi
2013-08-20; 00:00:00;       144.97; nan; multi
2013-08-21; 00:00:00;       151.82; nan; multi
2013-08-22; 00:00:00;       155.03; nan; multi
2013-08-30; 00:00:00;       180.49; nan; multi
2013-08-31; 00:00:00;       185.86; nan; multi
2013-09-02; 00:00:00;       192.99; nan; multi
2013-09-03; 00:00:00;       183.49; nan; multi
2013-09-04; 00:00:00;       184.68; nan; multi
2013-09-05; 00:00:00;       170.73; nan; multi
2013-09-11; 00:00:00;       236.93; nan; multi
2013-09-22; 00:00:00;       350.58; nan; multi
2013-09-23; 00:00:00;       308.42; nan; multi
2013-09-24; 00:00:00;       323.47; nan; multi
2013-10-06; 00:00:00;       398.11; nan; multi
2013-10-07; 00:00:00;       309.18; nan; multi
2013-10-08; 00:00:00;       323.73; nan; multi
2013-10-18; 00:00:00;       375.62; nan; multi
2013-10-23; 00:00:00;       290.71; nan; multi
2013-10-27; 00:00:00;       368.59; nan; multi
2013-10-31; 00:00:00;       364.99; nan; multi
2013-11-11; 00:00:00;       469.08; nan; multi
2013-11-16; 00:00:00;       559.99; nan; multi
2013-11-20; 00:00:00;       551.92; nan; multi
2013-11-27; 00:00:00;       647.06; nan; multi
2013-11-29; 00:00:00;       660.81; nan; multi
2013-12-07; 00:00:00;       651.99; nan; multi
2013-12-09; 00:00:00;       829.63; nan; multi
2013-12-10; 00:00:00;       861.37; nan; multi
2013-12-11; 00:00:00;       939.85; nan; multi
2013-12-14; 00:00:00;       867.40; nan; multi
2013-12-16; 00:00:00;       914.93; nan; multi
2013-12-18; 00:00:00;       974.30; nan; multi
2013-12-20; 00:00:00;       961.39; nan; multi
2013-12-23; 00:00:00;      1013.47; nan; multi
2013-12-25; 00:00:00;      1067.10; nan; multi
2013-12-27; 00:00:00;      1114.95; nan; multi
2014-01-06; 00:00:00;       993.77; nan; multi
2014-01-07; 00:00:00;       941.18; nan; multi
2014-01-10; 00:00:00;       893.16; nan; multi
2014-01-12; 00:00:00;       908.82; nan; multi
2014-01-17; 00:00:00;       912.85; nan; multi
2014-01-21; 00:00:00;       816.58; nan; multi
2014-01-23; 00:00:00;       744.73; nan; multi
2014-02-04; 00:00:00;      1256.54; nan; multi
2014-02-06; 00:00:00;      1169.48; nan; multi
2014-02-12; 00:00:00;       946.26; nan; multi
2014-02-17; 00:00:00;       835.86; nan; multi
2014-02-23; 00:00:00;       966.89; nan; multi
2014-02-24; 00:00:00;       903.13; nan; multi
2014-02-28; 00:00:00;       881.66; nan; multi
2014-03-05; 00:00:00;       804.53; nan; multi
2014-03-06; 00:00:00;       850.08; nan; multi
2014-03-08; 00:00:00;       931.40; nan; multi
2014-03-09; 00:00:00;       854.03; nan; multi
2014-03-10; 00:00:00;       926.26; nan; multi
2014-03-11; 00:00:00;       894.27; nan; multi
2014-03-12; 00:00:00;       829.39; nan; multi
2014-03-13; 00:00:00;       871.64; nan; multi
2014-03-17; 00:00:00;       756.62; nan; multi
2014-03-19; 00:00:00;       704.89; nan; multi
2014-03-20; 00:00:00;       702.83; nan; multi
2014-03-31; 00:00:00;       656.02; nan; multi
2014-04-09; 00:00:00;       909.77; nan; multi
2014-04-10; 00:00:00;       855.42; nan; multi
2014-04-12; 00:00:00;       797.85; nan; multi
2014-04-13; 00:00:00;       726.36; nan; multi
2014-04-14; 00:00:00;       710.61; nan; multi
2014-04-15; 00:00:00;       689.65; nan; multi
2014-04-16; 00:00:00;       705.59; nan; multi
2014-04-17; 00:00:00;       705.51; nan; multi
2014-04-19; 00:00:00;       681.86; nan; multi
2014-05-04; 00:00:00;       596.19; nan; multi
2014-05-05; 00:00:00;       528.79; nan; multi
2014-05-08; 00:00:00;       520.39; nan; multi
2014-05-13; 00:00:00;       520.56; nan; multi
2014-05-15; 00:00:00;       491.96; nan; multi
2014-05-16; 00:00:00;       489.75; nan; multi
2014-05-17; 00:00:00;       441.70; nan; multi
2014-05-18; 00:00:00;       431.80; nan; multi
2014-05-19; 00:00:00;       426.59; nan; multi
2014-06-03; 00:00:00;       904.75; nan; multi
2014-06-05; 00:00:00;       827.48; nan; multi
2014-06-07; 00:00:00;       664.59; nan; multi
2014-06-08; 00:00:00;       600.09; nan; multi
2014-06-09; 00:00:00;       559.19; nan; multi
2014-06-11; 00:00:00;       577.62; nan; multi
2014-06-12; 00:00:00;       599.36; nan; multi
2014-06-13; 00:00:00;       596.55; nan; multi
2014-06-16; 00:00:00;       520.66; nan; multi
2014-06-19; 00:00:00;       387.90; nan; multi
2014-06-20; 00:00:00;       316.91; nan; multi
2014-06-21; 00:00:00;       280.77; nan; multi
2014-06-25; 00:00:00;       304.65; nan; multi
2014-06-27; 00:00:00;       379.82; nan; multi
2014-07-15; 00:00:00;       276.07; nan; multi
2014-07-16; 00:00:00;       277.91; nan; multi
2014-07-17; 00:00:00;       251.18; nan; multi
2014-07-18; 00:00:00;       236.60; nan; multi
2014-07-22; 00:00:00;       200.82; nan; multi
2014-07-24; 00:00:00;       185.42; nan; multi
2014-07-27; 00:00:00;       181.46; nan; multi
2014-07-29; 00:00:00;       172.73; nan; multi
2014-08-06; 00:00:00;       199.75; nan; multi
2014-08-08; 00:00:00;       213.47; nan; multi
2014-08-17; 00:00:00;       257.62; nan; multi
2014-08-18; 00:00:00;       264.64; nan; multi
2014-08-24; 00:00:00;       266.56; nan; multi
2014-08-25; 00:00:00;       268.05; nan; multi
2014-08-27; 00:00:00;       238.17; nan; multi
2014-08-28; 00:00:00;       212.60; nan; multi
2014-08-30; 00:00:00;       183.51; nan; multi
2014-08-31; 00:00:00;       166.27; nan; multi
2014-09-01; 00:00:00;       156.75; nan; multi
2014-09-02; 00:00:00;       153.32; nan; multi
2014-09-03; 00:00:00;       152.84; nan; multi
2014-09-04; 00:00:00;       150.92; nan; multi
2014-09-06; 00:00:00;       161.72; nan; multi
2014-09-07; 00:00:00;       198.05; nan; multi
2014-09-10; 00:00:00;       206.85; nan; multi
2014-09-11; 00:00:00;       210.20; nan; multi
2014-09-12; 00:00:00;       223.45; nan; multi
2014-09-14; 00:00:00;       234.89; nan; multi
2014-09-18; 00:00:00;       258.19; nan; multi
2014-09-20; 00:00:00;       260.28; nan; multi
2014-09-21; 00:00:00;       254.17; nan; multi
2014-09-23; 00:00:00;       241.36; nan; multi
2014-09-24; 00:00:00;       224.89; nan; multi
2014-09-25; 00:00:00;       210.42; nan; multi
2014-09-26; 00:00:00;       210.63; nan; multi
2014-09-27; 00:00:00;       220.65; nan; multi
2014-09-29; 00:00:00;       219.59; nan; multi
2014-10-02; 00:00:00;       223.18; nan; multi
2014-10-03; 00:00:00;       215.12; nan; multi
2014-10-04; 00:00:00;       214.55; nan; multi
2014-10-12; 00:00:00;       250.50; nan; multi
2014-10-13; 00:00:00;       270.97; nan; multi
2014-10-14; 00:00:00;       325.53; nan; multi
2014-10-21; 00:00:00;       314.17; nan; multi
2014-10-22; 00:00:00;       314.90; nan; multi
2014-10-23; 00:00:00;       312.36; nan; multi
2014-10-26; 00:00:00;       290.07; nan; multi
2014-10-27; 00:00:00;       280.32; nan; multi
2014-10-28; 00:00:00;       266.92; nan; multi
2014-10-29; 00:00:00;       268.63; nan; multi
2014-10-30; 00:00:00;       256.66; nan; multi
2014-11-01; 00:00:00;       254.49; nan; multi
2014-11-06; 00:00:00;       274.57; nan; multi
2014-11-10; 00:00:00;       316.19; nan; multi
2014-11-15; 00:00:00;       362.91; nan; multi
2014-11-19; 00:00:00;       432.53; nan; multi
2014-11-20; 00:00:00;       432.90; nan; multi
2014-11-21; 00:00:00;       457.14; nan; multi
2014-12-04; 00:00:00;       324.99; nan; multi
2014-12-07; 00:00:00;       511.54; nan; multi
2014-12-21; 00:00:00;       884.92; nan; multi
2014-12-29; 00:00:00;       631.27; nan; multi
2014-12-30; 00:00:00;       609.11; nan; multi
2014-12-31; 00:00:00;       621.85; nan; multi
2015-01-11; 00:00:00;       595.49; nan; multi
2015-01-12; 00:00:00;       559.49; nan; multi
2015-01-13; 00:00:00;       633.77; nan; multi
2015-01-25; 00:00:00;       737.31; nan; multi
2015-02-07; 00:00:00;       973.85; nan; multi
2015-02-09; 00:00:00;      1026.57; nan; multi
2015-02-10; 00:00:00;       963.82; nan; multi
2015-02-11; 00:00:00;       812.58; nan; multi
2015-02-12; 00:00:00;       702.58; nan; multi
2015-02-19; 00:00:00;       775.84; nan; multi
2015-02-23; 00:00:00;       659.81; nan; multi
2015-02-24; 00:00:00;       650.41; nan; multi
2015-03-05; 00:00:00;       635.95; nan; multi
2015-03-06; 00:00:00;       646.37; nan; multi
2015-03-07; 00:00:00;       658.05; nan; multi
2015-03-10; 00:00:00;       674.92; nan; multi
2015-03-11; 00:00:00;       743.07; nan; multi
2015-04-05; 00:00:00;       617.91; nan; multi
2015-04-06; 00:00:00;       605.21; nan; multi
2015-04-07; 00:00:00;       622.46; nan; multi
2015-04-08; 00:00:00;       627.35; nan; multi
2015-04-09; 00:00:00;       606.42; nan; multi
2015-04-12; 00:00:00;       560.85; nan; multi
2015-04-13; 00:00:00;       508.47; nan; multi
2015-04-14; 00:00:00;       530.07; nan; multi
2015-04-20; 00:00:00;       645.67; nan; multi
2015-04-21; 00:00:00;       705.13; nan; multi
2015-04-28; 00:00:00;      1400.61; nan; multi
2015-05-06; 00:00:00;      1011.12; nan; multi
2015-05-07; 00:00:00;       897.80; nan; multi
2015-05-10; 00:00:00;       755.95; nan; multi
2015-05-12; 00:00:00;       668.69; nan; multi
2015-05-27; 00:00:00;       327.45; nan; multi
2015-05-28; 00:00:00;       346.54; nan; multi
2015-05-29; 00:00:00;       330.46; nan; multi
2015-06-03; 00:00:00;       286.79; nan; multi
2015-06-04; 00:00:00;       306.38; nan; multi
2015-06-05; 00:00:00;       282.82; nan; multi
2015-06-06; 00:00:00;       264.25; nan; multi
2015-06-07; 00:00:00;       248.51; nan; multi
2015-06-08; 00:00:00;       240.32; nan; multi
2015-06-09; 00:00:00;       232.68; nan; multi
2015-06-17; 00:00:00;       248.74; nan; multi
2015-06-20; 00:00:00;       228.73; nan; multi
2015-06-21; 00:00:00;       217.96; nan; multi
2015-06-22; 00:00:00;       201.61; nan; multi
2015-06-24; 00:00:00;       177.27; nan; multi
2015-06-25; 00:00:00;       174.97; nan; multi
2015-06-26; 00:00:00;       166.55; nan; multi
2015-06-28; 00:00:00;       155.58; nan; multi
2015-06-29; 00:00:00;       142.87; nan; multi
2015-06-30; 00:00:00;       132.89; nan; multi
2015-07-01; 00:00:00;       126.35; nan; multi
2015-07-04; 00:00:00;       124.00; nan; multi
2015-07-06; 00:00:00;       127.04; nan; multi
2015-07-09; 00:00:00;       132.89; nan; multi
2015-07-10; 00:00:00;       133.98; nan; multi
2015-07-12; 00:00:00;       148.43; nan; multi
2015-07-13; 00:00:00;       154.99; nan; multi
2015-07-14; 00:00:00;       161.52; nan; multi
2015-07-15; 00:00:00;       160.63; nan; multi
2015-07-17; 00:00:00;       151.65; nan; multi
2015-07-18; 00:00:00;       148.30; nan; multi
2015-07-20; 00:00:00;       149.27; nan; multi
2015-07-21; 00:00:00;       152.50; nan; multi
2015-07-23; 00:00:00;       156.82; nan; multi
2015-08-01; 00:00:00;       158.64; nan; multi
2015-08-02; 00:00:00;       161.92; nan; multi
2015-08-03; 00:00:00;       149.44; nan; multi
2015-08-05; 00:00:00;       145.72; nan; multi
2015-08-06; 00:00:00;       143.16; nan; multi
2015-08-10; 00:00:00;       137.01; nan; multi
2015-08-11; 00:00:00;       137.15; nan; multi
2015-08-12; 00:00:00;       143.81; nan; multi
2015-08-17; 00:00:00;       139.02; nan; multi
2015-08-18; 00:00:00;       137.70; nan; multi
2015-08-19; 00:00:00;       138.57; nan; multi
2015-08-20; 00:00:00;       138.30; nan; multi
2015-08-21; 00:00:00;       138.93; nan; multi
2015-08-22; 00:00:00;       137.65; nan; multi
2015-08-25; 00:00:00;       129.08; nan; multi
2015-08-26; 00:00:00;       126.82; nan; multi
2015-08-28; 00:00:00;       126.05; nan; multi
2015-08-29; 00:00:00;       127.47; nan; multi
2015-08-30; 00:00:00;       127.17; nan; multi
2015-09-03; 00:00:00;       127.84; nan; multi
2015-09-04; 00:00:00;       131.66; nan; multi
2015-09-05; 00:00:00;       138.15; nan; multi
2015-09-07; 00:00:00;       152.80; nan; multi
2015-09-08; 00:00:00;       158.18; nan; multi
2015-09-20; 00:00:00;       186.28; nan; multi
2015-09-21; 00:00:00;       207.24; nan; multi
2015-09-24; 00:00:00;       237.86; nan; multi
2015-09-26; 00:00:00;       213.25; nan; multi
2015-09-27; 00:00:00;       199.58; nan; multi
2015-09-28; 00:00:00;       194.42; nan; multi
2015-09-30; 00:00:00;       201.11; nan; multi
2015-10-01; 00:00:00;       206.98; nan; multi
2015-10-09; 00:00:00;       240.40; nan; multi
2015-10-10; 00:00:00;       267.10; nan; multi
2015-10-16; 00:00:00;       279.43; nan; multi
2015-10-17; 00:00:00;       282.02; nan; multi
2015-10-21; 00:00:00;       243.64; nan; multi
2015-10-23; 00:00:00;       229.11; nan; multi
2015-10-26; 00:00:00;       235.68; nan; multi
2015-10-29; 00:00:00;       235.28; nan; multi
2015-10-30; 00:00:00;       237.42; nan; multi
2015-10-31; 00:00:00;       228.72; nan; multi
2015-11-01; 00:00:00;       245.77; nan; multi
2015-11-06; 00:00:00;       357.84; nan; multi
2015-11-07; 00:00:00;       351.41; nan; multi
2015-11-08; 00:00:00;       371.21; nan; multi
2015-11-09; 00:00:00;       361.54; nan; multi
2015-11-14; 00:00:00;       283.81; nan; multi
2015-11-16; 00:00:00;       258.83; nan; multi
2015-11-22; 00:00:00;       399.22; nan; multi
2015-11-27; 00:00:00;       475.57; nan; multi
2015-11-28; 00:00:00;       477.36; nan; multi
2015-11-29; 00:00:00;       468.42; nan; multi
2015-11-30; 00:00:00;       431.81; nan; multi
2015-12-03; 00:00:00;       453.86; nan; multi
2015-12-06; 00:00:00;       458.10; nan; multi
2015-12-09; 00:00:00;       447.46; nan; multi
2015-12-11; 00:00:00;       486.32; nan; multi
2015-12-12; 00:00:00;       531.40; nan; multi
2015-12-13; 00:00:00;       590.83; nan; multi
2015-12-19; 00:00:00;       603.04; nan; multi
2015-12-24; 00:00:00;       562.28; nan; multi
2015-12-25; 00:00:00;       536.91; nan; multi
2015-12-26; 00:00:00;       535.57; nan; multi
2016-01-02; 00:00:00;       409.28; nan; multi
2016-01-11; 00:00:00;      1448.13; nan; multi
2016-01-16; 00:00:00;      1158.34; nan; multi
2016-01-17; 00:00:00;      1094.10; nan; multi
2016-01-20; 00:00:00;      1142.38; nan; multi
2016-01-28; 00:00:00;       731.49; nan; multi
2016-02-05; 00:00:00;       705.98; nan; multi
2016-02-06; 00:00:00;       797.95; nan; multi
2016-02-07; 00:00:00;       779.09; nan; multi
2016-02-16; 00:00:00;       718.32; nan; multi
2016-02-17; 00:00:00;       782.15; nan; multi
2016-02-21; 00:00:00;       807.10; nan; multi
2016-02-26; 00:00:00;       717.79; nan; multi
2016-03-05; 00:00:00;      1169.40; nan; multi
2016-03-06; 00:00:00;      1235.85; nan; multi
2016-03-08; 00:00:00;      1144.67; nan; multi
2016-03-12; 00:00:00;       968.37; nan; multi
2016-03-13; 00:00:00;       942.08; nan; multi
2016-03-15; 00:00:00;       955.17; nan; multi
2016-03-22; 00:00:00;       913.07; nan; multi
2016-03-24; 00:00:00;       907.54; nan; multi
2016-03-26; 00:00:00;       836.02; nan; multi
2016-04-01; 00:00:00;       954.11; nan; multi
2016-04-02; 00:00:00;       978.90; nan; multi
2016-04-03; 00:00:00;       971.92; nan; multi
2016-04-10; 00:00:00;       626.60; nan; multi
2016-04-11; 00:00:00;       571.86; nan; multi
2016-04-12; 00:00:00;       551.43; nan; multi
2016-04-18; 00:00:00;       522.93; nan; multi
2016-04-19; 00:00:00;       494.86; nan; multi
2016-04-29; 00:00:00;       512.53; nan; multi
2016-05-01; 00:00:00;       589.75; nan; multi
2016-05-02; 00:00:00;       620.21; nan; multi
2016-05-04; 00:00:00;       680.84; nan; multi
2016-05-05; 00:00:00;       656.19; nan; multi
2016-05-16; 00:00:00;      1065.08; nan; multi
2016-05-21; 00:00:00;       593.49; nan; multi
2016-05-23; 00:00:00;       588.85; nan; multi
2016-05-24; 00:00:00;       538.62; nan; multi
2016-05-26; 00:00:00;       489.20; nan; multi
2016-05-27; 00:00:00;       449.48; nan; multi
2016-06-17; 00:00:00;       493.77; nan; multi
2016-06-21; 00:00:00;       489.84; nan; multi
2016-06-22; 00:00:00;       559.63; nan; multi
2016-06-23; 00:00:00;       536.28; nan; multi
2016-06-28; 00:00:00;       323.75; nan; multi
2016-07-04; 00:00:00;       250.51; nan; multi
2016-07-06; 00:00:00;       199.42; nan; multi
2016-07-07; 00:00:00;       182.00; nan; multi
2016-07-08; 00:00:00;       175.82; nan; multi
2016-07-09; 00:00:00;       172.15; nan; multi
2016-07-10; 00:00:00;       167.25; nan; multi
2016-07-13; 00:00:00;       187.25; nan; multi
2016-07-15; 00:00:00;       190.60; nan; multi
2016-07-16; 00:00:00;       175.02; nan; multi
2016-07-17; 00:00:00;       167.30; nan; multi
2016-07-18; 00:00:00;       151.88; nan; multi
2016-07-19; 00:00:00;       142.26; nan; multi
2016-07-24; 00:00:00;       139.64; nan; multi
2016-07-25; 00:00:00;       139.31; nan; multi
2016-07-26; 00:00:00;       138.41; nan; multi
2016-07-27; 00:00:00;       133.30; nan; multi
2016-07-29; 00:00:00;       122.45; nan; multi
2016-07-30; 00:00:00;       121.21; nan; multi
2016-08-01; 00:00:00;       120.09; nan; multi
2016-08-02; 00:00:00;       118.07; nan; multi
2016-08-03; 00:00:00;       113.15; nan; multi
2016-08-07; 00:00:00;       115.77; nan; multi
2016-08-08; 00:00:00;       106.12; nan; multi
2016-08-10; 00:00:00;       100.00; nan; multi
2016-08-11; 00:00:00;        97.00; nan; multi
2016-08-12; 00:00:00;        95.87; nan; multi
2016-08-13; 00:00:00;        94.33; nan; multi
2016-08-14; 00:00:00;        98.94; nan; multi
2016-08-15; 00:00:00;       100.43; nan; multi
2016-08-16; 00:00:00;       102.55; nan; multi
2016-08-20; 00:00:00;       104.45; nan; multi
2016-08-21; 00:00:00;       103.82; nan; multi
2016-08-22; 00:00:00;       106.81; nan; multi
2016-08-23; 00:00:00;       111.70; nan; multi
2016-08-24; 00:00:00;       108.72; nan; multi
